"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2016","2017","2018","2019","2020"
"02275","Wrangell City and Borough, AK*",102183,98909,99074,94807,93843
"02280","Wrangell-Petersburg Census Area, AK*","(NA)","(NA)","(NA)","(NA)","(NA)"
"02282","Yakutat City and Borough, AK*",26263,25689,26876,28935,30972
"02290","Yukon-Koyukuk Census Area, AK",251488,260791,273293,270179,256635
"04001","Apache, AZ",2338314,2356511,2386806,2128397,2157467
"04003","Cochise, AZ",4287830,4205704,4187426,4280992,4501616
"04005","Coconino, AZ",6528220,7149723,7089777,6829438,6321341
"04007","Gila, AZ",1597812,1690890,1705180,1687658,1684553
"04009","Graham, AZ",791203,870164,899154,947920,982532
"04011","Greenlee, AZ",1334767,1638845,1555996,1576320,1499870
"04012","La Paz, AZ",673416,669175,661271,682877,688842
"04013","Maricopa, AZ",206462015,214120001,223590591,233321462,231963078
"04015","Mohave, AZ",4964569,4816906,4900496,5074156,5113573
"04017","Navajo, AZ",2613824,2758995,2859345,2642699,2537793
"04019","Pima, AZ",37220309,38533954,39534741,40179930,38478791
"04021","Pinal, AZ",7557195,7965575,8368354,8585413,8752073
"04023","Santa Cruz, AZ",1583884,1746694,1792086,1767253,1734246
"04025","Yavapai, AZ",6224311,6606836,6657557,6692200,6617293
"04027","Yuma, AZ",6985127,7258853,7331342,7384506,7422021
"05001","Arkansas, AR",1001794,943684,971183,966397,988706
"05003","Ashley, AR",777666,693283,680615,677007,610346
"05005","Baxter, AR",1166983,1268312,1285220,1278578,1239729
"05007","Benton, AR",12331775,13147706,13639837,14096756,14467239
"05009","Boone, AR",1131645,1170359,1176932,1170571,1158133
"05011","Bradley, AR",292350,294601,313707,298606,284345
"05013","Calhoun, AR",333444,330193,320358,310815,307483
"05015","Carroll, AR",725594,775461,783382,790413,773575
"05017","Chicot, AR",261490,251713,247654,242945,249801
"05019","Clark, AR",697879,703202,727789,714943,680628
"05021","Clay, AR",295065,336667,315184,298149,303924
"05023","Cleburne, AR",765562,727170,698553,715489,689702
"05025","Cleveland, AR",134575,134232,153491,118887,96315
"05027","Columbia, AR",835133,835073,859980,833191,770150
"05029","Conway, AR",867157,779821,769677,749372,732630
"05031","Craighead, AR",3931740,4049587,4182226,4334486,4256903
"05033","Crawford, AR",1476409,1510848,1526442,1547475,1528616
"05035","Crittenden, AR",1521610,1628023,1638514,1679445,1598537
"05037","Cross, AR",403169,426274,394483,397141,422368
"05039","Dallas, AR",203213,201422,197398,190580,185424
"05041","Desha, AR",596167,509685,500131,511387,520191
"05043","Drew, AR",598984,577832,574922,559291,521108
"05045","Faulkner, AR",3532081,3492999,3581062,3561759,3423095
"05047","Franklin, AR",416272,404267,414704,412443,421930
"05049","Fulton, AR",156787,154811,163469,163622,162030
"05051","Garland, AR",2929034,2992677,3051463,3054365,2957264
"05053","Grant, AR",362242,367488,368134,385744,382945
"05055","Greene, AR",1265622,1282760,1318104,1329611,1314094
"05057","Hempstead, AR",829908,904786,883716,861068,842144
"05059","Hot Spring, AR",932605,938136,930648,873798,856444
"05061","Howard, AR",590970,590771,608701,538514,508829
"05063","Independence, AR",1638652,1649637,1760694,1634129,1487088
"05065","Izard, AR",275021,267748,273891,258246,232164
"05067","Jackson, AR",619488,627491,664339,640155,662759
"05069","Jefferson, AR",2914044,2830649,2745288,2749951,2680639
"05071","Johnson, AR",710408,661360,675288,655736,636808
"05073","Lafayette, AR",164158,151642,146635,126838,129237
"05075","Lawrence, AR",413720,418270,413547,394968,423315
"05077","Lee, AR",151514,158066,146574,162592,144788
"05079","Lincoln, AR",253738,231026,233168,220915,207687
"05081","Little River, AR",471109,446140,431025,438064,433041
"05083","Logan, AR",517551,492421,511681,438825,421432
"05085","Lonoke, AR",1189976,1210259,1212353,1193391,1182122
"05087","Madison, AR",348184,372870,384158,342893,350421
"05089","Marion, AR",555411,507444,453045,545770,440581
"05091","Miller, AR",1218039,1212595,1210444,1233604,1160106
"05093","Mississippi, AR",2148298,2204137,2434838,2570710,2619912
"05095","Monroe, AR",158497,168626,162850,175131,186748
"05097","Montgomery, AR",132962,131726,134103,125093,122589
"05099","Nevada, AR",248342,243224,247658,223053,206410
"05101","Newton, AR",102373,112025,90560,91962,89111
"05103","Ouachita, AR",578374,566632,575625,559672,530849
"05105","Perry, AR",146889,144298,145683,136283,129926
"05107","Phillips, AR",429665,460491,447430,473931,471974
"05109","Pike, AR",233900,229929,233587,211886,208413
"05111","Poinsett, AR",495718,555790,535584,538448,540713
"05113","Polk, AR",477679,487614,509929,489078,458968
"05115","Pope, AR",2635381,2600751,2585841,2600390,2595596
"05117","Prairie, AR",176082,202896,185538,164926,204171
"05119","Pulaski, AR",25852083,25602515,25901785,26399358,25848697
"05121","Randolph, AR",391875,422728,439618,437346,443387
"05123","St. Francis, AR",643282,652884,642713,651201,655629
"05125","Saline, AR",2219619,2226596,2354762,2275529,2216370
"05127","Scott, AR",259753,266266,284074,255301,231085
"05129","Searcy, AR",135660,154647,149873,156642,151794
"05131","Sebastian, AR",5842196,5867673,6056680,6099593,5993166
"05133","Sevier, AR",502243,473646,493638,450128,411423
"05135","Sharp, AR",347047,337941,347174,304247,275584
"05137","Stone, AR",227334,235635,227224,215539,198469
"05139","Union, AR",2380378,2333636,2340456,2444503,2381739
"05141","Van Buren, AR",595897,535543,492984,480600,476650
"05143","Washington, AR",9616776,9995100,10277344,10459272,10414772
"05145","White, AR",2157040,2068293,2115786,2134793,2097404
"05147","Woodruff, AR",201857,229225,229597,212755,247355
"05149","Yell, AR",556277,548054,580435,555952,524461
"06001","Alameda, CA",112943702,119117078,123718310,126183638,121709013
"06003","Alpine, CA",99622,99643,100131,104501,94421
"06005","Amador, CA",1489618,1570431,1585410,1625096,1571455
"06007","Butte, CA",8084983,8434322,8543593,8701260,8130900
"06009","Calaveras, CA",1242125,1292735,1238320,1412753,1312022
"06011","Colusa, CA",1294753,1199687,1408034,1244078,1475738
"06013","Contra Costa, CA",68732088,71878033,76615513,79295699,76705181
"06015","Del Norte, CA",706293,688089,709056,704591,791153
"06017","El Dorado, CA",6908588,7238157,7471362,7435270,6926104
"06019","Fresno, CA",38649137,39921581,41016044,42111573,41216318
"06021","Glenn, CA",1018131,982720,1103979,1124597,1305510
"06023","Humboldt, CA",4870723,4986467,5053603,5185967,4974904
"06025","Imperial, CA",8170398,8155429,8102824,8471316,8273072
"06027","Inyo, CA",1175758,1224445,1175310,1214209,1182230
"06029","Kern, CA",45928331,46781960,47738604,49221208,48674498
"06031","Kings, CA",5687938,5924008,5882811,6054971,6266094
"06033","Lake, CA",1743577,1768943,1850962,1875971,1883809
"06035","Lassen, CA",1191247,1071059,1077095,1071584,1083379
"06037","Los Angeles, CA",639934876,662418536,681549961,703781312,659328437
"06039","Madera, CA",5765929,6012170,5988270,6194111,6240917
"06041","Marin, CA",20738025,22815861,25037176,27175273,26875951
"06043","Mariposa, CA",608856,664863,764080,775501,705107
"06045","Mendocino, CA",3087672,3261212,3290676,3295575,3186549
"06047","Merced, CA",8462554,9012107,8994225,9119281,9099866
"06049","Modoc, CA",377226,357793,373250,414965,437915
"06051","Mono, CA",910508,1027563,957625,1016599,922078
"06053","Monterey, CA",24813563,25122789,25923751,26819709,25387255
"06055","Napa, CA",9691673,9870652,9898897,9997969,9482760
"06057","Nevada, CA",3874263,3940019,3896864,3982808,3803890
"06059","Orange, CA",211288031,220075102,226110295,231036264,220845026
"06061","Placer, CA",19475977,19894372,20911650,21472690,20860227
"06063","Plumas, CA",908021,1006000,940398,1042571,910031
"06065","Riverside, CA",73019473,75327830,78156440,80690542,78285711
"06067","Sacramento, CA",75648213,77961074,80936234,83951132,81577179
"06069","San Benito, CA",1971059,2075377,2115616,2280142,2199197
"06071","San Bernardino, CA",75877075,78146465,80460743,83759253,82202264
"06073","San Diego, CA",197159662,203932550,209426148,214035153,207747927
"06075","San Francisco, CA",143841023,155258114,166716731,176392838,175001370
"06077","San Joaquin, CA",25837363,26787016,27808462,28686598,28417585
"06079","San Luis Obispo, CA",15194948,15449070,15808438,15901604,15536252
"06081","San Mateo, CA",100239588,113829269,119797765,125850236,124434270
